model,model_name,mae,fold,mean_mae
56,SVR,0.6478163387117494,7,0.7515737391893205
55,SVR,0.6988091963841698,6,0.7515737391893205
53,SVR,0.7133804396335846,4,0.7515737391893205
52,SVR,0.7010008375129633,3,0.7515737391893205
51,SVR,0.9392161960686958,2,0.7515737391893205
50,SVR,0.9361463201635597,1,0.7515737391893205
58,SVR,0.6406094254181054,9,0.7515737391893205
61,BayesianRidge,1.06039738964353,2,1.0519383898009995
68,BayesianRidge,1.0003209866875202,9,1.0519383898009995
67,BayesianRidge,1.3381693024462444,8,1.0519383898009995
66,BayesianRidge,0.9699916701005424,7,1.0519383898009995
65,BayesianRidge,0.9791083876802835,6,1.0519383898009995
64,BayesianRidge,1.0120083600491856,5,1.0519383898009995
63,BayesianRidge,1.18216109906429,4,1.0519383898009995
62,BayesianRidge,0.8934227461683324,3,1.0519383898009995
69,BayesianRidge,0.8134037180256726,10,1.0519383898009995
60,BayesianRidge,1.2704002381443942,1,1.0519383898009995
70,LinearRegression,1.29097822758626,1,1.0537892744886332
73,LinearRegression,1.2070655349088704,4,1.0537892744886332
72,LinearRegression,0.8942208819460262,3,1.0537892744886332
74,LinearRegression,1.0360157897670308,5,1.0537892744886332
79,LinearRegression,0.7989048577151834,10,1.0537892744886332
75,LinearRegression,0.9799694746842363,6,1.0537892744886332
76,LinearRegression,0.9644606109389717,7,1.0537892744886332
77,LinearRegression,1.3187485657329758,8,1.0537892744886332
71,LinearRegression,1.04295167795197,2,1.0537892744886332
78,LinearRegression,1.0045771236548073,9,1.0537892744886332
47,ElasticNet,1.837319589937032,8,1.3906430091998154
46,ElasticNet,1.4534980532579302,7,1.3906430091998154
44,ElasticNet,1.0173092567997266,5,1.3906430091998154
43,ElasticNet,1.196035617481384,4,1.3906430091998154
42,ElasticNet,1.4387892202486747,3,1.3906430091998154
41,ElasticNet,1.6571898412841004,2,1.3906430091998154
40,ElasticNet,1.4152429857333726,1,1.3906430091998154
45,ElasticNet,1.1949719306066489,6,1.3906430091998154
48,ElasticNet,1.3387101275887792,9,1.3906430091998154
81,Lasso,1.6571898412841004,2,1.3906430091998154
80,Lasso,1.4152429857333726,1,1.3906430091998154
89,Lasso,1.3573634690605048,10,1.3906430091998154
88,Lasso,1.3387101275887792,9,1.3906430091998154
87,Lasso,1.837319589937032,8,1.3906430091998154
86,Lasso,1.4534980532579302,7,1.3906430091998154
84,Lasso,1.0173092567997266,5,1.3906430091998154
83,Lasso,1.196035617481384,4,1.3906430091998154
82,Lasso,1.4387892202486747,3,1.3906430091998154
49,ElasticNet,1.3573634690605048,10,1.3906430091998154
85,Lasso,1.1949719306066489,6,1.3906430091998154
